"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Kuukauden sadesumma [mm]","Kuukauden keskilämpötila [°C]"
"Vantaa Helsinki-Vantaan lentoasema","1991","2","1","02:00","16.5","-6.3"
"Vantaa Helsinki-Vantaan lentoasema","1991","3","1","02:00","29.4","-0.6"
"Vantaa Helsinki-Vantaan lentoasema","1991","4","1","03:00","23.2","3.7"
"Vantaa Helsinki-Vantaan lentoasema","1991","5","1","03:00","30.9","8"
"Vantaa Helsinki-Vantaan lentoasema","1991","6","1","03:00","71.5","12.8"
"Vantaa Helsinki-Vantaan lentoasema","1991","7","1","03:00","20","17.7"
"Vantaa Helsinki-Vantaan lentoasema","1991","8","1","03:00","90.2","16.7"
"Vantaa Helsinki-Vantaan lentoasema","1991","9","1","03:00","59.2","9.9"
"Vantaa Helsinki-Vantaan lentoasema","1991","10","1","02:00","51.8","5.9"
"Vantaa Helsinki-Vantaan lentoasema","1991","11","1","02:00","111.5","3.2"
"Vantaa Helsinki-Vantaan lentoasema","1991","12","1","02:00","49","-1.2"
"Vantaa Helsinki-Vantaan lentoasema","1992","1","1","02:00","49.9","-1.6"
"Vantaa Helsinki-Vantaan lentoasema","1992","2","1","02:00","48.6","-2"
"Vantaa Helsinki-Vantaan lentoasema","1992","3","1","02:00","63.2","0.9"
"Vantaa Helsinki-Vantaan lentoasema","1992","4","1","03:00","56","2"
"Vantaa Helsinki-Vantaan lentoasema","1992","5","1","03:00","18.3","11.4"
"Vantaa Helsinki-Vantaan lentoasema","1992","6","1","03:00","28.7","15.9"
"Vantaa Helsinki-Vantaan lentoasema","1992","7","1","03:00","42.9","16.7"
"Vantaa Helsinki-Vantaan lentoasema","1992","8","1","03:00","147.6","14.9"
"Vantaa Helsinki-Vantaan lentoasema","1992","9","1","03:00","77","12"
"Vantaa Helsinki-Vantaan lentoasema","1992","10","1","02:00","122.4","0.7"
"Vantaa Helsinki-Vantaan lentoasema","1992","11","1","02:00","84","-1.2"
"Vantaa Helsinki-Vantaan lentoasema","1992","12","1","02:00","35.4","0.5"
"Vantaa Helsinki-Vantaan lentoasema","1993","1","1","02:00","71.9","-1.8"
"Vantaa Helsinki-Vantaan lentoasema","1993","2","1","02:00","19.2","-2.6"
"Vantaa Helsinki-Vantaan lentoasema","1993","3","1","02:00","31.4","-0.7"
"Vantaa Helsinki-Vantaan lentoasema","1993","4","1","03:00","17.7","3.7"
"Vantaa Helsinki-Vantaan lentoasema","1993","5","1","03:00","17.5","13.3"
"Vantaa Helsinki-Vantaan lentoasema","1993","6","1","03:00","45.6","12.2"
"Vantaa Helsinki-Vantaan lentoasema","1993","7","1","03:00","112.9","16"
"Vantaa Helsinki-Vantaan lentoasema","1993","8","1","03:00","123.2","13.6"
"Vantaa Helsinki-Vantaan lentoasema","1993","9","1","03:00","12.8","6.5"
"Vantaa Helsinki-Vantaan lentoasema","1993","10","1","02:00","58.9","3.7"
"Vantaa Helsinki-Vantaan lentoasema","1993","11","1","02:00","5","-3"
"Vantaa Helsinki-Vantaan lentoasema","1993","12","1","02:00","83.8","-3"
"Vantaa Helsinki-Vantaan lentoasema","1994","1","1","02:00","65.1","-4"
"Vantaa Helsinki-Vantaan lentoasema","1994","2","1","02:00","2.7","-13"
"Vantaa Helsinki-Vantaan lentoasema","1994","3","1","02:00","61.7","-2.6"
"Vantaa Helsinki-Vantaan lentoasema","1994","4","1","03:00","71.5","5.3"
"Vantaa Helsinki-Vantaan lentoasema","1994","5","1","03:00","61.6","8.4"
"Vantaa Helsinki-Vantaan lentoasema","1994","6","1","03:00","61.5","12.9"
"Vantaa Helsinki-Vantaan lentoasema","1994","7","1","03:00","6","19.9"
"Vantaa Helsinki-Vantaan lentoasema","1994","8","1","03:00","79.2","15.6"
"Vantaa Helsinki-Vantaan lentoasema","1994","9","1","03:00","148.2","11.1"
"Vantaa Helsinki-Vantaan lentoasema","1994","10","1","02:00","68","4.9"
"Vantaa Helsinki-Vantaan lentoasema","1994","11","1","02:00","27.4","-0.5"
"Vantaa Helsinki-Vantaan lentoasema","1994","12","1","02:00","84","-0.5"
"Vantaa Helsinki-Vantaan lentoasema","1995","1","1","02:00","53.1","-3.1"
"Vantaa Helsinki-Vantaan lentoasema","1995","2","1","02:00","72.7","-0.5"
"Vantaa Helsinki-Vantaan lentoasema","1995","3","1","02:00","53","0.2"
"Vantaa Helsinki-Vantaan lentoasema","1995","4","1","03:00","29.4","3.4"
"Vantaa Helsinki-Vantaan lentoasema","1995","5","1","03:00","61.3","9.1"
"Vantaa Helsinki-Vantaan lentoasema","1995","6","1","03:00","19.4","17.6"
"Vantaa Helsinki-Vantaan lentoasema","1995","7","1","03:00","37.6","16.1"
"Vantaa Helsinki-Vantaan lentoasema","1995","8","1","03:00","55.3","16.1"
"Vantaa Helsinki-Vantaan lentoasema","1995","9","1","03:00","91.4","11"
"Vantaa Helsinki-Vantaan lentoasema","1995","10","1","02:00","60.8","8"
"Vantaa Helsinki-Vantaan lentoasema","1995","11","1","02:00","62.3","-2.2"
"Vantaa Helsinki-Vantaan lentoasema","1995","12","1","02:00","18.7","-8"
"Vantaa Helsinki-Vantaan lentoasema","1996","1","1","02:00","8.2","-6"
"Vantaa Helsinki-Vantaan lentoasema","1996","2","1","02:00","26.7","-10.2"
"Vantaa Helsinki-Vantaan lentoasema","1996","3","1","02:00","24.5","-3.2"
"Vantaa Helsinki-Vantaan lentoasema","1996","4","1","03:00","30.5","3.3"
"Vantaa Helsinki-Vantaan lentoasema","1996","5","1","03:00","85.7","9.3"
"Vantaa Helsinki-Vantaan lentoasema","1996","6","1","03:00","51.5","13.5"
"Vantaa Helsinki-Vantaan lentoasema","1996","7","1","03:00","151","14.7"
"Vantaa Helsinki-Vantaan lentoasema","1996","8","1","03:00","8.7","17.6"
"Vantaa Helsinki-Vantaan lentoasema","1996","9","1","03:00","43.5","8.8"
"Vantaa Helsinki-Vantaan lentoasema","1996","10","1","03:00","76.5","6.8"
"Vantaa Helsinki-Vantaan lentoasema","1996","11","1","02:00","215.8","3.4"
"Vantaa Helsinki-Vantaan lentoasema","1996","12","1","02:00","38.5","-5.1"
"Vantaa Helsinki-Vantaan lentoasema","1997","1","1","02:00","43.4","-4.1"
"Vantaa Helsinki-Vantaan lentoasema","1997","2","1","02:00","66.1","-3.3"
"Vantaa Helsinki-Vantaan lentoasema","1997","3","1","02:00","25.7","-0.7"
"Vantaa Helsinki-Vantaan lentoasema","1997","4","1","03:00","31.9","2"
"Vantaa Helsinki-Vantaan lentoasema","1997","5","1","03:00","25.7","8.4"
"Vantaa Helsinki-Vantaan lentoasema","1997","6","1","03:00","54.7","16.5"
"Vantaa Helsinki-Vantaan lentoasema","1997","7","1","03:00","51.8","18.7"
"Vantaa Helsinki-Vantaan lentoasema","1997","8","1","03:00","60","18.5"
"Vantaa Helsinki-Vantaan lentoasema","1997","9","1","03:00","64.1","10.5"
"Vantaa Helsinki-Vantaan lentoasema","1997","10","1","03:00","56.8","3"
"Vantaa Helsinki-Vantaan lentoasema","1997","11","1","02:00","54.9","0.2"
"Vantaa Helsinki-Vantaan lentoasema","1997","12","1","02:00","28.3","-3.3"
"Vantaa Helsinki-Vantaan lentoasema","1998","1","1","02:00","65.1","-1.7"
"Vantaa Helsinki-Vantaan lentoasema","1998","2","1","02:00","29.7","-4.5"
"Vantaa Helsinki-Vantaan lentoasema","1998","3","1","02:00","21.5","-4.2"
"Vantaa Helsinki-Vantaan lentoasema","1998","4","1","03:00","23.8","2.9"
"Vantaa Helsinki-Vantaan lentoasema","1998","5","1","03:00","49.7","10.4"
"Vantaa Helsinki-Vantaan lentoasema","1998","6","1","03:00","117","14.4"
"Vantaa Helsinki-Vantaan lentoasema","1998","7","1","03:00","124.6","16.2"
"Vantaa Helsinki-Vantaan lentoasema","1998","8","1","03:00","107.2","13.6"
"Vantaa Helsinki-Vantaan lentoasema","1998","9","1","03:00","48.8","11.5"
"Vantaa Helsinki-Vantaan lentoasema","1998","10","1","03:00","135.2","5.8"
"Vantaa Helsinki-Vantaan lentoasema","1998","11","1","02:00","32.7","-3.4"
"Vantaa Helsinki-Vantaan lentoasema","1998","12","1","02:00","50.5","-2.2"
"Vantaa Helsinki-Vantaan lentoasema","1999","1","1","02:00","49.3","-5.9"
"Vantaa Helsinki-Vantaan lentoasema","1999","2","1","02:00","62.8","-7.2"
"Vantaa Helsinki-Vantaan lentoasema","1999","3","1","02:00","25.5","-1.4"
"Vantaa Helsinki-Vantaan lentoasema","1999","4","1","03:00","54.8","5.7"
"Vantaa Helsinki-Vantaan lentoasema","1999","5","1","03:00","11.2","8"
"Vantaa Helsinki-Vantaan lentoasema","1999","6","1","03:00","24.5","18.4"
"Vantaa Helsinki-Vantaan lentoasema","1999","7","1","03:00","24.8","19.1"
"Vantaa Helsinki-Vantaan lentoasema","1999","8","1","03:00","65.9","15.4"
"Vantaa Helsinki-Vantaan lentoasema","1999","9","1","03:00","39.6","12.8"
"Vantaa Helsinki-Vantaan lentoasema","1999","10","1","03:00","97.9","6.7"
"Vantaa Helsinki-Vantaan lentoasema","1999","11","1","02:00","37.1","2.5"
"Vantaa Helsinki-Vantaan lentoasema","1999","12","1","02:00","109.1","-2.3"
"Vantaa Helsinki-Vantaan lentoasema","2000","1","1","02:00","40.1","-2.9"
"Vantaa Helsinki-Vantaan lentoasema","2000","2","1","02:00","52.2","-2.6"
"Vantaa Helsinki-Vantaan lentoasema","2000","3","1","02:00","37.6","-0.8"
"Vantaa Helsinki-Vantaan lentoasema","2000","4","1","03:00","44.2","6.4"
"Vantaa Helsinki-Vantaan lentoasema","2000","5","1","03:00","26.4","10.8"
"Vantaa Helsinki-Vantaan lentoasema","2000","6","1","03:00","71.8","14.4"
"Vantaa Helsinki-Vantaan lentoasema","2000","7","1","03:00","65.6","16.9"
"Vantaa Helsinki-Vantaan lentoasema","2000","8","1","03:00","52.4","15.4"
"Vantaa Helsinki-Vantaan lentoasema","2000","9","1","03:00","12.1","9.7"
"Vantaa Helsinki-Vantaan lentoasema","2000","10","1","03:00","93.9","8.8"
"Vantaa Helsinki-Vantaan lentoasema","2000","11","1","02:00","132.5","4.6"
"Vantaa Helsinki-Vantaan lentoasema","2000","12","1","02:00","81.2","1.3"
"Vantaa Helsinki-Vantaan lentoasema","2001","1","1","02:00","50.1","-1.9"
"Vantaa Helsinki-Vantaan lentoasema","2001","2","1","02:00","48.7","-7.7"
"Vantaa Helsinki-Vantaan lentoasema","2001","3","1","02:00","23.9","-3.4"
"Vantaa Helsinki-Vantaan lentoasema","2001","4","1","03:00","53.7","5.7"
"Vantaa Helsinki-Vantaan lentoasema","2001","5","1","03:00","17.6","9.9"
"Vantaa Helsinki-Vantaan lentoasema","2001","6","1","03:00","111.7","14.3"
"Vantaa Helsinki-Vantaan lentoasema","2001","7","1","03:00","56.1","20.5"
"Vantaa Helsinki-Vantaan lentoasema","2001","8","1","03:00","69.5","16.4"
"Vantaa Helsinki-Vantaan lentoasema","2001","9","1","03:00","99.1","12.1"
"Vantaa Helsinki-Vantaan lentoasema","2001","10","1","03:00","75.7","8"
"Vantaa Helsinki-Vantaan lentoasema","2001","11","1","02:00","56.1","-0.1"
"Vantaa Helsinki-Vantaan lentoasema","2001","12","1","02:00","22.9","-7.1"
"Vantaa Helsinki-Vantaan lentoasema","2002","1","1","02:00","68.8","-3.6"
"Vantaa Helsinki-Vantaan lentoasema","2002","2","1","02:00","52.2","-0.9"
"Vantaa Helsinki-Vantaan lentoasema","2002","3","1","02:00","38.1","0.3"
"Vantaa Helsinki-Vantaan lentoasema","2002","4","1","03:00","7.5","5.7"
"Vantaa Helsinki-Vantaan lentoasema","2002","5","1","03:00","25.5","12"
"Vantaa Helsinki-Vantaan lentoasema","2002","6","1","03:00","67.7","16.4"
"Vantaa Helsinki-Vantaan lentoasema","2002","7","1","03:00","56.6","19.3"
"Vantaa Helsinki-Vantaan lentoasema","2002","8","1","03:00","17.6","19.3"
"Vantaa Helsinki-Vantaan lentoasema","2002","9","1","03:00","21.5","11.2"
"Vantaa Helsinki-Vantaan lentoasema","2002","10","1","03:00","36.6","0.6"
"Vantaa Helsinki-Vantaan lentoasema","2002","11","1","02:00","42.8","-2.8"
"Vantaa Helsinki-Vantaan lentoasema","2002","12","1","02:00","11.1","-8.1"
"Vantaa Helsinki-Vantaan lentoasema","2003","1","1","02:00","41.7","-9.7"
"Vantaa Helsinki-Vantaan lentoasema","2003","2","1","02:00","6.9","-5.7"
"Vantaa Helsinki-Vantaan lentoasema","2003","3","1","02:00","10.3","-1.4"
"Vantaa Helsinki-Vantaan lentoasema","2003","4","1","03:00","31.4","2.6"
"Vantaa Helsinki-Vantaan lentoasema","2003","5","1","03:00","60.8","10"
"Vantaa Helsinki-Vantaan lentoasema","2003","6","1","03:00","50.9","13.3"
"Vantaa Helsinki-Vantaan lentoasema","2003","7","1","03:00","25","20.5"
"Vantaa Helsinki-Vantaan lentoasema","2003","8","1","03:00","67.8","16.1"
"Vantaa Helsinki-Vantaan lentoasema","2003","9","1","03:00","22","11.6"
"Vantaa Helsinki-Vantaan lentoasema","2003","10","1","03:00","72.9","3.5"
"Vantaa Helsinki-Vantaan lentoasema","2003","11","1","02:00","45.5","2.8"
"Vantaa Helsinki-Vantaan lentoasema","2003","12","1","02:00","70.4","-1.1"
"Vantaa Helsinki-Vantaan lentoasema","2004","1","1","02:00","37.5","-7.1"
"Vantaa Helsinki-Vantaan lentoasema","2004","2","1","02:00","40.5","-5"
"Vantaa Helsinki-Vantaan lentoasema","2004","3","1","02:00","45.8","-1.4"
"Vantaa Helsinki-Vantaan lentoasema","2004","4","1","03:00","6.3","4.6"
"Vantaa Helsinki-Vantaan lentoasema","2004","5","1","03:00","37.1","10.3"
"Vantaa Helsinki-Vantaan lentoasema","2004","6","1","03:00","103.5","13.1"
"Vantaa Helsinki-Vantaan lentoasema","2004","7","1","03:00","200.7","16.5"
"Vantaa Helsinki-Vantaan lentoasema","2004","8","1","03:00","77.5","16.7"
"Vantaa Helsinki-Vantaan lentoasema","2004","9","1","03:00","93","12.2"
"Vantaa Helsinki-Vantaan lentoasema","2004","10","1","03:00","59.1","5.6"
"Vantaa Helsinki-Vantaan lentoasema","2004","11","1","02:00","63.4","-0.5"
"Vantaa Helsinki-Vantaan lentoasema","2004","12","1","02:00","76.1","-0.5"
"Vantaa Helsinki-Vantaan lentoasema","2005","1","1","02:00","104.7","-1.2"
"Vantaa Helsinki-Vantaan lentoasema","2005","2","1","02:00","18.4","-5.7"
"Vantaa Helsinki-Vantaan lentoasema","2005","3","1","02:00","6.7","-6.3"
"Vantaa Helsinki-Vantaan lentoasema","2005","4","1","03:00","12.4","4.4"
"Vantaa Helsinki-Vantaan lentoasema","2005","5","1","03:00","60.7","10.3"
"Vantaa Helsinki-Vantaan lentoasema","2005","6","1","03:00","78.2","14.2"
"Vantaa Helsinki-Vantaan lentoasema","2005","7","1","03:00","36.4","19.2"
"Vantaa Helsinki-Vantaan lentoasema","2005","8","1","03:00","161.4","16.2"
"Vantaa Helsinki-Vantaan lentoasema","2005","9","1","03:00","24.7","12.4"
"Vantaa Helsinki-Vantaan lentoasema","2005","10","1","03:00","34.3","7"
"Vantaa Helsinki-Vantaan lentoasema","2005","11","1","02:00","81.9","3.5"
"Vantaa Helsinki-Vantaan lentoasema","2005","12","1","02:00","36.3","-3.7"
"Vantaa Helsinki-Vantaan lentoasema","2006","1","1","02:00","17.7","-4.9"
"Vantaa Helsinki-Vantaan lentoasema","2006","2","1","02:00","16.9","-9.2"
"Vantaa Helsinki-Vantaan lentoasema","2006","3","1","02:00","31.4","-6.6"
"Vantaa Helsinki-Vantaan lentoasema","2006","4","1","03:00","33.9","3.8"
"Vantaa Helsinki-Vantaan lentoasema","2006","5","1","03:00","42.2","10.7"
"Vantaa Helsinki-Vantaan lentoasema","2006","6","1","03:00","28","16.3"
"Vantaa Helsinki-Vantaan lentoasema","2006","7","1","03:00","4.2","19.1"
"Vantaa Helsinki-Vantaan lentoasema","2006","8","1","03:00","38","18.4"
"Vantaa Helsinki-Vantaan lentoasema","2006","9","1","03:00","24.3","13.7"
"Vantaa Helsinki-Vantaan lentoasema","2006","10","1","03:00","193","7.5"
"Vantaa Helsinki-Vantaan lentoasema","2006","11","1","02:00","68.3","1.5"
"Vantaa Helsinki-Vantaan lentoasema","2006","12","1","02:00","59.7","3"
"Vantaa Helsinki-Vantaan lentoasema","2007","1","1","02:00","99.5","-2.5"
"Vantaa Helsinki-Vantaan lentoasema","2007","2","1","02:00","14.6","-9.6"
"Vantaa Helsinki-Vantaan lentoasema","2007","3","1","02:00","31.4","2.9"
"Vantaa Helsinki-Vantaan lentoasema","2007","4","1","03:00","47.4","5.3"
"Vantaa Helsinki-Vantaan lentoasema","2007","5","1","03:00","43.3","11"
"Vantaa Helsinki-Vantaan lentoasema","2007","6","1","03:00","44.5","15.8"
"Vantaa Helsinki-Vantaan lentoasema","2007","7","1","03:00","60.6","17.4"
"Vantaa Helsinki-Vantaan lentoasema","2007","8","1","03:00","64.3","17.4"
"Vantaa Helsinki-Vantaan lentoasema","2007","9","1","03:00","103.6","11"
"Vantaa Helsinki-Vantaan lentoasema","2007","10","1","03:00","73.7","6.4"
"Vantaa Helsinki-Vantaan lentoasema","2007","11","1","02:00","84","0"
"Vantaa Helsinki-Vantaan lentoasema","2007","12","1","02:00","92.5","1.5"
"Vantaa Helsinki-Vantaan lentoasema","2008","1","1","02:00","85.3","-0.4"
"Vantaa Helsinki-Vantaan lentoasema","2008","2","1","02:00","60","0.2"
"Vantaa Helsinki-Vantaan lentoasema","2008","3","1","02:00","45.8","-0.6"
"Vantaa Helsinki-Vantaan lentoasema","2008","4","1","03:00","41.5","6.3"
"Vantaa Helsinki-Vantaan lentoasema","2008","5","1","03:00","12.8","11.1"
